date,screen,fill_rate
2025-12-06,Akureyri #1,0.885
2025-12-06,Akureyri #2,0.8816392606481481
2025-12-06,Austurstræti,0.375
2025-12-06,Borgartún,0.7960802691203704
2025-12-06,Breiðholt #1,0.42587882907407404
2025-12-06,Breiðholt #2,0.6789165717592592
2025-12-06,Egilshöll #1,0.9999614197685184
2025-12-06,Egilshöll #2,0.3181735040740741
2025-12-06,Einhella,0.4121025835648148
2025-12-06,Fjarðarhraun,0.3833333333333333
2025-12-06,Frumherji - Reykjanesbær,0.1667
2025-12-06,Frumherji - Selfoss,0.3333333333333333
2025-12-06,Glerártorg #1,0.5704896766203703
2025-12-06,Glerártorg #2,0.5704896766203703
2025-12-06,Grandi,0.8986742843518518
2025-12-06,Hafnartorg #1 Inngangur,0.6770833333333334
2025-12-06,Hafnartorg #2 Lengja,0.42708333333333326
2025-12-06,Hafnartorg #3 Greiðsluvél,0.6770833333333334
2025-12-06,Hafnartorg #4 Kubbur,0.5104166666666666
2025-12-06,Hagasmári,0.744082537824074
2025-12-06,Hæðasmári #1,0.6
2025-12-06,Hæðasmári Standur - Portrait,0.16666666666666666
2025-12-06,Höfðabakki #1,0.5516666666666666
2025-12-06,Höfðabakki #2,0.6066943717592592
2025-12-06,Kaplakriki #1,0.856785817962963
2025-12-06,Kaplakriki #2,0.8625695216203703
2025-12-06,Kaplakriki #3,0.8493164574074075
2025-12-06,Litlatún #1,0.7999999999999999
2025-12-06,Lyfjaval - Suðurfell,0.13333333333333333
2025-12-06,Lyfjaval - Vesturlandsvegur,0.3333333333333333
2025-12-06,Njarðarbraut #1,0.42678974129629627
2025-12-06,Njarðarbraut #2,0.3832967884722222
2025-12-06,Selfoss #1,0.7358596646296296
2025-12-06,Selfoss #2,0.3670468833796296
2025-12-06,Smáratorg #1,0.5666666666666667
2025-12-06,Smáratorg #2,0.23333333333333334
2025-12-06,Sæbraut - Holtagarðar,0.25
2025-12-06,Sæbraut - Sundaborg,0.4777778
2025-12-06,Vatnsendahvarf #1,0.8950000222222222
2025-12-06,Vestmannaeyjar,0.42083333333333334
2025-12-06,Vesturlandsvegur #1,0.7715717007870371
2025-12-06,Vesturlandsvegur #2,0.6472499050925926
