date,screen,fill_rate
2025-12-20,Akureyri #1,1
2025-12-20,Akureyri #2,0.8215740682407406
2025-12-20,Austurstræti,0.875
2025-12-20,Borgartún,0.7199622192592593
2025-12-20,Breiðholt #1,0.7009632375925926
2025-12-20,Breiðholt #2,0.5803242268518517
2025-12-20,Egilshöll #1,0.9162468632407406
2025-12-20,Egilshöll #2,0.3229307517592592
2025-12-20,Einhella,0.4003564129629629
2025-12-20,Fjarðarhraun,0.3333333333333333
2025-12-20,Frumherji - Reykjanesbær,0.1667
2025-12-20,Frumherji - Selfoss,0.4666666666666666
2025-12-20,Glerártorg #1,0.5702918807407408
2025-12-20,Glerártorg #2,0.503625214074074
2025-12-20,Grandi,0.9398174213425925
2025-12-20,Hafnartorg #1 Inngangur,0.9270833333333335
2025-12-20,Hafnartorg #2 Lengja,0.9270833333333335
2025-12-20,Hafnartorg #3 Greiðsluvél,0.9270833333333335
2025-12-20,Hafnartorg #4 Kubbur,0.7604166666666667
2025-12-20,Hagasmári,0.4764874496759259
2025-12-20,Hæðasmári #1,0.5333333333333333
2025-12-20,Hæðasmári Standur - Portrait,0.03333333333333333
2025-12-20,Höfðabakki #1,0.5683333333333334
2025-12-20,Höfðabakki #2,0.56987973625
2025-12-20,Kaplakriki #1,0.9385715600925927
2025-12-20,Kaplakriki #2,0.9958773393518517
2025-12-20,Kaplakriki #3,0.9461640789814815
2025-12-20,Litlatún #1,0.9999999999999999
2025-12-20,Lyfjaval - Suðurfell,0.2
2025-12-20,Lyfjaval - Vesturlandsvegur,0.3333333333333333
2025-12-20,Njarðarbraut #1,0.5228843219444443
2025-12-20,Njarðarbraut #2,0.49098849694444435
2025-12-20,Selfoss #1,0.8126333862037036
2025-12-20,Selfoss #2,0.48612481259259255
2025-12-20,Smáratorg #1,0.7
2025-12-20,Smáratorg #2,0.36666666666666664
2025-12-20,Sæbraut - Holtagarðar,0.2
2025-12-20,Sæbraut - Sundaborg,0.6182955525925926
2025-12-20,Vatnsendahvarf #1,0.5163132799999999
2025-12-20,Vestmannaeyjar,0.3182486875
2025-12-20,Vesturlandsvegur #1,0.8775179198148149
2025-12-20,Vesturlandsvegur #2,0.6978872312962963
