date,screen,fill_rate
2026-04-07,Akureyri #1,0.20166666666666666
2026-04-07,Akureyri #2,0.3683333333333333
2026-04-07,Austurstræti,0
2026-04-07,Borgartún,0.8683333333333333
2026-04-07,Breiðholt #1,0.735
2026-04-07,Breiðholt #2,0.39999999999999997
2026-04-07,Egilshöll #1,0.4666666666666666
2026-04-07,Egilshöll #2,0.3333333333333333
2026-04-07,Einhella,0.23500000000000001
2026-04-07,Fjarðarhraun,0.13333333333333333
2026-04-07,Frumherji - Reykjanesbær,0.10003333333333334
2026-04-07,Frumherji - Selfoss,0.06666666666666667
2026-04-07,Glerártorg #1,0.33499999999999996
2026-04-07,Glerártorg #2,0.39999999999999997
2026-04-07,Grandi,0.735
2026-04-07,Hafnartorg #1 Inngangur,0.42708333333333326
2026-04-07,Hafnartorg #2 Lengja,0.42708333333333326
2026-04-07,Hafnartorg #3 Greiðsluvél,0.25
2026-04-07,Hafnartorg #4 Kubbur,0.34374999999999994
2026-04-07,Hagasmári,0.2
2026-04-07,Hæðasmári #1,0.6
2026-04-07,Hæðasmári Standur - Portrait,0.03333333333333333
2026-04-07,Höfðabakki #1,0.4016666666666666
2026-04-07,Höfðabakki #2,0.6333333333333333
2026-04-07,Kaplakriki #1,0.615
2026-04-07,Kaplakriki #2,0.8133333333333334
2026-04-07,Kaplakriki #3,0.46833333333333327
2026-04-07,Litlatún #1,0.39999999999999997
2026-04-07,Lyfjaval - Suðurfell,0.2
2026-04-07,Lyfjaval - Vesturlandsvegur,0.26666666666666666
2026-04-07,Njarðarbraut #1,0.335
2026-04-07,Njarðarbraut #2,0.335
2026-04-07,Selfoss #1,0.715
2026-04-07,Selfoss #2,0.5816666666666667
2026-04-07,Smáratorg #1,0.49999999999999994
2026-04-07,Smáratorg #2,0.3
2026-04-07,Sæbraut - Holtagarðar,0.13333333333333333
2026-04-07,Sæbraut - Sundaborg,0
2026-04-07,Vatnsendahvarf #1,0
2026-04-07,Vestmannaeyjar,0.3333333333333333
2026-04-07,Vesturlandsvegur #1,0.8949999999999999
2026-04-07,Vesturlandsvegur #2,0.5149999999999999
