date,screen,fill_rate
2025-11-20,Akureyri #1,0.9300619461574073
2025-11-20,Akureyri #2,0.7543142712037036
2025-11-20,Austurstræti,0.125
2025-11-20,Borgartún,0.6436524889351851
2025-11-20,Breiðholt #1,0.772095124212963
2025-11-20,Breiðholt #2,0.6182371344444444
2025-11-20,Egilshöll #1,0.6966224200925926
2025-11-20,Egilshöll #2,0.1711829414351852
2025-11-20,Einhella,0.43499999999999994
2025-11-20,Fjarðarhraun,0.42121297115740736
2025-11-20,Frumherji - Reykjanesbær,0.1667
2025-11-20,Frumherji - Selfoss,0.4666666666666666
2025-11-20,Glerártorg #1,0.9476897219907406
2025-11-20,Glerártorg #2,0.8970241632870369
2025-11-20,Grandi,0.9801024423148147
2025-11-20,Hafnartorg #1 Inngangur,0.6749999999999999
2025-11-20,Hafnartorg #2 Lengja,0.5416666666666666
2025-11-20,Hafnartorg #3 Greiðsluvél,0.49722219999999995
2025-11-20,Hafnartorg #4 Kubbur,0.3416666666666666
2025-11-20,Hagasmári,0.542896457824074
2025-11-20,Hæðasmári #1,0.5333333333333333
2025-11-20,Hæðasmári Standur - Portrait,0.16666666666666666
2025-11-20,Höfðabakki #1,0.6094568221759259
2025-11-20,Höfðabakki #2,0.520772851111111
2025-11-20,Kaplakriki #1,0.9873591810648148
2025-11-20,Kaplakriki #2,0.8624337289351852
2025-11-20,Kaplakriki #3,0.7618490834259259
2025-11-20,Litlatún #1,0.7333333333333333
2025-11-20,Lyfjaval - Suðurfell,0.2
2025-11-20,Lyfjaval - Vesturlandsvegur,0.3333333333333333
2025-11-20,Njarðarbraut #1,0.6895463044907407
2025-11-20,Njarðarbraut #2,0.5664346333796295
2025-11-20,Selfoss #1,0.7860540401388888
2025-11-20,Selfoss #2,0.5636908299537037
2025-11-20,Smáratorg #1,0.5636908299537037
2025-11-20,Smáratorg #2,0.26666666666666666
2025-11-20,Sæbraut - Holtagarðar,0.39999999999999997
2025-11-20,Sæbraut - Sundaborg,0.49702416328703697
2025-11-20,Vatnsendahvarf #1,0.7969722266666666
2025-11-20,Vestmannaeyjar,0.5625
2025-11-20,Vesturlandsvegur #1,0.9412638805555554
2025-11-20,Vesturlandsvegur #2,0.858748687824074
