date,screen,fill_rate
2026-03-20,Akureyri #1,0.8821203888888889
2026-03-20,Akureyri #2,0.43870373333333335
2026-03-20,Austurstræti,0
2026-03-20,Borgartún,0.9085792058796297
2026-03-20,Breiðholt #1,0.7387037333333334
2026-03-20,Breiðholt #2,0.7032088058796296
2026-03-20,Egilshöll #1,0.7999999999999999
2026-03-20,Egilshöll #2,0.13333333333333333
2026-03-20,Einhella,0.3683333333333333
2026-03-20,Fjarðarhraun,0.26666666666666666
2026-03-20,Frumherji - Reykjanesbær,0.10003333333333334
2026-03-20,Frumherji - Selfoss,0.26666666666666666
2026-03-20,Glerártorg #1,0.9016666666666666
2026-03-20,Glerártorg #2,0.806912539212963
2026-03-20,Grandi,0.8419379333333332
2026-03-20,Hafnartorg #1 Inngangur,0.42708333333333326
2026-03-20,Hafnartorg #2 Lengja,0.34374999999999994
2026-03-20,Hafnartorg #3 Greiðsluvél,0.08333333333333333
2026-03-20,Hafnartorg #4 Kubbur,0.26041666666666663
2026-03-20,Hagasmári,0.26666666666666666
2026-03-20,Hæðasmári #1,0.26666666666666666
2026-03-20,Hæðasmári Standur - Portrait,0.03333333333333333
2026-03-20,Höfðabakki #1,0.5016666666666666
2026-03-20,Höfðabakki #2,0.5703704
2026-03-20,Kaplakriki #1,0.8494051744907407
2026-03-20,Kaplakriki #2,0.8666666666666666
2026-03-20,Kaplakriki #3,0.5053704
2026-03-20,Litlatún #1,0.8250697522685185
2026-03-20,Lyfjaval - Suðurfell,0.2
2026-03-20,Lyfjaval - Vesturlandsvegur,0.3333333333333333
2026-03-20,Njarðarbraut #1,0.6048754725462963
2026-03-20,Njarðarbraut #2,0.5412719302314815
2026-03-20,Selfoss #1,0.9999732791666666
2026-03-20,Selfoss #2,0.999978061111111
2026-03-20,Smáratorg #1,0.6703704
2026-03-20,Smáratorg #2,0.36666666666666664
2026-03-20,Sæbraut - Holtagarðar,0.2509104614351852
2026-03-20,Sæbraut - Sundaborg,0
2026-03-20,Vatnsendahvarf #1,0
2026-03-20,Vestmannaeyjar,0.4666666666666666
2026-03-20,Vesturlandsvegur #1,0.9524850888888888
2026-03-20,Vesturlandsvegur #2,0.8859104503240741
