date,screen,fill_rate
2026-03-04,Akureyri #1,0.6683333333333333
2026-03-04,Akureyri #2,0.2961111333333334
2026-03-04,Austurstræti,0.375
2026-03-04,Borgartún,0.9065126795833333
2026-03-04,Breiðholt #1,0.5294444666666666
2026-03-04,Breiðholt #2,0.43718028277777776
2026-03-04,Egilshöll #1,0.49999999999999994
2026-03-04,Egilshöll #2,0.28553094828703707
2026-03-04,Einhella,0.5016666666666666
2026-03-04,Fjarðarhraun,0.13333333333333333
2026-03-04,Frumherji - Reykjanesbær,0.10003333333333334
2026-03-04,Frumherji - Selfoss,0.2
2026-03-04,Glerártorg #1,0.9560065983796295
2026-03-04,Glerártorg #2,0.49444446666666664
2026-03-04,Grandi,0.8246999999999999
2026-03-04,Hafnartorg #1 Inngangur,0.49999999999999994
2026-03-04,Hafnartorg #2 Lengja,0.16666666666666666
2026-03-04,Hafnartorg #3 Greiðsluvél,0.25
2026-03-04,Hafnartorg #4 Kubbur,0.25
2026-03-04,Hagasmári,0.13333333333333333
2026-03-04,Hæðasmári #1,0.2
2026-03-04,Hæðasmári Standur - Portrait,0.23333333333333334
2026-03-04,Höfðabakki #1,0.3683333333333333
2026-03-04,Höfðabakki #2,0.4649580827777778
2026-03-04,Kaplakriki #1,0.7911347818518518
2026-03-04,Kaplakriki #2,0.7406666666666666
2026-03-04,Kaplakriki #3,0.5261556977314814
2026-03-04,Litlatún #1,0.39999999999999997
2026-03-04,Lyfjaval - Suðurfell,0.13333333333333333
2026-03-04,Lyfjaval - Vesturlandsvegur,0.26666666666666666
2026-03-04,Njarðarbraut #1,0.635
2026-03-04,Njarðarbraut #2,0.3226903151851852
2026-03-04,Selfoss #1,0.5226903151851852
2026-03-04,Selfoss #2,0.43499999999999994
2026-03-04,Smáratorg #1,0.49444446666666664
2026-03-04,Smáratorg #2,0.2
2026-03-04,Sæbraut - Holtagarðar,0.22102364851851852
2026-03-04,Sæbraut - Sundaborg,0
2026-03-04,Vatnsendahvarf #1,0
2026-03-04,Vestmannaeyjar,0.4666666666666666
2026-03-04,Vesturlandsvegur #1,0.41940154625
2026-03-04,Vesturlandsvegur #2,0.8556420816203703
