date,screen,fill_rate
2026-02-11,Akureyri #1,0.16833333333333333
2026-02-11,Akureyri #2,0.16166666666666668
2026-02-11,Austurstræti,0.25
2026-02-11,Borgartún,0.6172221999999999
2026-02-11,Breiðholt #1,0.5505555333333332
2026-02-11,Breiðholt #2,0.2
2026-02-11,Egilshöll #1,0.6
2026-02-11,Egilshöll #2,0.13333333333333333
2026-02-11,Einhella,0.30166666666666664
2026-02-11,Fjarðarhraun,0.06666666666666667
2026-02-11,Frumherji - Reykjanesbær,0.10003333333333334
2026-02-11,Frumherji - Selfoss,0.06666666666666667
2026-02-11,Glerártorg #1,0.6933333333333332
2026-02-11,Glerártorg #2,0.295
2026-02-11,Grandi,0.8818888666666665
2026-02-11,Hafnartorg #1 Inngangur,0.25
2026-02-11,Hafnartorg #2 Lengja,0.08333333333333333
2026-02-11,Hafnartorg #3 Greiðsluvél,0.08333333333333333
2026-02-11,Hafnartorg #4 Kubbur,0.08333333333333333
2026-02-11,Hagasmári,0.2
2026-02-11,Hæðasmári #1,0.39999999999999997
2026-02-11,Hæðasmári Standur - Portrait,0.03333333333333333
2026-02-11,Höfðabakki #1,0.3283333333333333
2026-02-11,Höfðabakki #2,0.2222222
2026-02-11,Kaplakriki #1,0.5245555333333332
2026-02-11,Kaplakriki #2,0.8006666666666665
2026-02-11,Kaplakriki #3,0.4689999999999999
2026-02-11,Litlatún #1,0.5333333333333333
2026-02-11,Lyfjaval - Suðurfell,0.13333333333333333
2026-02-11,Lyfjaval - Vesturlandsvegur,0.26666666666666666
2026-02-11,Njarðarbraut #1,0.4016666666666666
2026-02-11,Njarðarbraut #2,0.20191215810185184
2026-02-11,Selfoss #1,0.39999999999999997
2026-02-11,Selfoss #2,0.26666666666666666
2026-02-11,Smáratorg #1,0.29333333333333333
2026-02-11,Smáratorg #2,0.13333333333333333
2026-02-11,Sæbraut - Holtagarðar,0.06666666666666667
2026-02-11,Sæbraut - Sundaborg,0.1822222
2026-02-11,Vatnsendahvarf #1,0
2026-02-11,Vestmannaeyjar,0.25
2026-02-11,Vesturlandsvegur #1,0.5312221999999999
2026-02-11,Vesturlandsvegur #2,0.6423333333333333
