date,screen,fill_rate
2026-02-24,Akureyri #1,0.5016666666666666
2026-02-24,Akureyri #2,0.3016666666666667
2026-02-24,Austurstræti,0.375
2026-02-24,Borgartún,0.6016666666666667
2026-02-24,Breiðholt #1,0.6016666666666667
2026-02-24,Breiðholt #2,0.6
2026-02-24,Egilshöll #1,0.5333333333333333
2026-02-24,Egilshöll #2,0.26666666666666666
2026-02-24,Einhella,0.3683333333333333
2026-02-24,Fjarðarhraun,0
2026-02-24,Frumherji - Reykjanesbær,0.1667
2026-02-24,Frumherji - Selfoss,0.13333333333333333
2026-02-24,Glerártorg #1,0.8683333333333333
2026-02-24,Glerártorg #2,0.5333333333333333
2026-02-24,Grandi,0.9349999999999999
2026-02-24,Hafnartorg #1 Inngangur,0.41666666666666663
2026-02-24,Hafnartorg #2 Lengja,0.16666666666666666
2026-02-24,Hafnartorg #3 Greiðsluvél,0.08333333333333333
2026-02-24,Hafnartorg #4 Kubbur,0.08333333333333333
2026-02-24,Hagasmári,0.39999999999999997
2026-02-24,Hæðasmári #1,0.4666666666666666
2026-02-24,Hæðasmári Standur - Portrait,0.03333333333333333
2026-02-24,Höfðabakki #1,0.33499999999999996
2026-02-24,Höfðabakki #2,0.26666666666666666
2026-02-24,Kaplakriki #1,0.8016666666666666
2026-02-24,Kaplakriki #2,0.6333333333333333
2026-02-24,Kaplakriki #3,0.4016666666666666
2026-02-24,Litlatún #1,0.7999999999999999
2026-02-24,Lyfjaval - Suðurfell,0.13333333333333333
2026-02-24,Lyfjaval - Vesturlandsvegur,0.26666666666666666
2026-02-24,Njarðarbraut #1,0.7683333333333333
2026-02-24,Njarðarbraut #2,0.43499999999999994
2026-02-24,Selfoss #1,0.8016666666666666
2026-02-24,Selfoss #2,0.46833333333333327
2026-02-24,Smáratorg #1,0.8999999999999999
2026-02-24,Smáratorg #2,0.3333333333333333
2026-02-24,Sæbraut - Holtagarðar,0.13333333333333333
2026-02-24,Sæbraut - Sundaborg,0
2026-02-24,Vatnsendahvarf #1,0
2026-02-24,Vestmannaeyjar,0.26666666666666666
2026-02-24,Vesturlandsvegur #1,0.5016666666666666
2026-02-24,Vesturlandsvegur #2,0.5016666666666666
