date,screen,fill_rate
2026-02-09,Akureyri #1,0.6
2026-02-09,Akureyri #2,0.32666666666666666
2026-02-09,Austurstræti,0.125
2026-02-09,Borgartún,0.9155555333333332
2026-02-09,Breiðholt #1,0.7155555333333332
2026-02-09,Breiðholt #2,0.6
2026-02-09,Egilshöll #1,0.7333333333333333
2026-02-09,Egilshöll #2,0.26666666666666666
2026-02-09,Einhella,0.26666666666666666
2026-02-09,Fjarðarhraun,0.06666666666666667
2026-02-09,Frumherji - Reykjanesbær,0.10003333333333334
2026-02-09,Frumherji - Selfoss,0
2026-02-09,Glerártorg #1,0.6933333333333332
2026-02-09,Glerártorg #2,0.3933333333333333
2026-02-09,Grandi,0.7822221999999999
2026-02-09,Hafnartorg #1 Inngangur,0.25
2026-02-09,Hafnartorg #2 Lengja,0.16666666666666666
2026-02-09,Hafnartorg #3 Greiðsluvél,0.16666666666666666
2026-02-09,Hafnartorg #4 Kubbur,0.08333333333333333
2026-02-09,Hagasmári,0.39999999999999997
2026-02-09,Hæðasmári #1,0.39999999999999997
2026-02-09,Hæðasmári Standur - Portrait,0.03333333333333333
2026-02-09,Höfðabakki #1,0.5599999999999999
2026-02-09,Höfðabakki #2,0.35555553333333334
2026-02-09,Kaplakriki #1,0.9166805546759258
2026-02-09,Kaplakriki #2,0.7933333333333332
2026-02-09,Kaplakriki #3,0.36
2026-02-09,Litlatún #1,0.8344583546759259
2026-02-09,Lyfjaval - Suðurfell,0.13333333333333333
2026-02-09,Lyfjaval - Vesturlandsvegur,0.26666666666666666
2026-02-09,Njarðarbraut #1,0.4333333333333333
2026-02-09,Njarðarbraut #2,0.38986534199074074
2026-02-09,Selfoss #1,0.6333333333333333
2026-02-09,Selfoss #2,0.5666666666666667
2026-02-09,Smáratorg #1,0.5599999999999999
2026-02-09,Smáratorg #2,0.3333333333333333
2026-02-09,Sæbraut - Holtagarðar,0.06666666666666667
2026-02-09,Sæbraut - Sundaborg,0.6488888666666666
2026-02-09,Vatnsendahvarf #1,0
2026-02-09,Vestmannaeyjar,0.25
2026-02-09,Vesturlandsvegur #1,0.6222222
2026-02-09,Vesturlandsvegur #2,1
