date,screen,fill_rate
2026-02-04,Akureyri #1,0.4666666666666666
2026-02-04,Akureyri #2,0.18461539999999999
2026-02-04,Austurstræti,0.25
2026-02-04,Borgartún,0.7025641333333333
2026-02-04,Breiðholt #1,0.5025641333333333
2026-02-04,Breiðholt #2,0.39999999999999997
2026-02-04,Egilshöll #1,0.6
2026-02-04,Egilshöll #2,0.2
2026-02-04,Einhella,0.39999999999999997
2026-02-04,Fjarðarhraun,0.26666666666666666
2026-02-04,Frumherji - Reykjanesbær,0.10003333333333334
2026-02-04,Frumherji - Selfoss,0.06666666666666667
2026-02-04,Glerártorg #1,0.7179487333333333
2026-02-04,Glerártorg #2,0.3179487333333333
2026-02-04,Grandi,0.8846153999999999
2026-02-04,Hafnartorg #1 Inngangur,0.25
2026-02-04,Hafnartorg #2 Lengja,0.16666666666666666
2026-02-04,Hafnartorg #3 Greiðsluvél,0.25
2026-02-04,Hafnartorg #4 Kubbur,0.16666666666666666
2026-02-04,Hagasmári,0.26666666666666666
2026-02-04,Hæðasmári #1,0.39999999999999997
2026-02-04,Hæðasmári Standur - Portrait,0.1
2026-02-04,Höfðabakki #1,0.31794873333333334
2026-02-04,Höfðabakki #2,0.5179487333333332
2026-02-04,Kaplakriki #1,0.8765641333333333
2026-02-04,Kaplakriki #2,0.6919487333333333
2026-02-04,Kaplakriki #3,0.32528206666666665
2026-02-04,Litlatún #1,0.5333333333333333
2026-02-04,Lyfjaval - Suðurfell,0.13333333333333333
2026-02-04,Lyfjaval - Vesturlandsvegur,0.26666666666666666
2026-02-04,Njarðarbraut #1,0.36666666666666664
2026-02-04,Njarðarbraut #2,0.1814547774074074
2026-02-04,Selfoss #1,0.5333333333333333
2026-02-04,Selfoss #2,0.26666666666666666
2026-02-04,Smáratorg #1,0.3846154
2026-02-04,Smáratorg #2,0.2
2026-02-04,Sæbraut - Holtagarðar,0.2
2026-02-04,Sæbraut - Sundaborg,0.3846154
2026-02-04,Vatnsendahvarf #1,0
2026-02-04,Vestmannaeyjar,0.3125
2026-02-04,Vesturlandsvegur #1,0.3919487333333333
2026-02-04,Vesturlandsvegur #2,0.7406666666666666
