date,screen,fill_rate
2026-06-20,Akureyri #1,0.989
2026-06-20,Akureyri #2,0.8016666666666666
2026-06-20,Austurstræti,0
2026-06-20,Borgartún,0.6927037333333335
2026-06-20,Breiðholt #1,0.16833333333333333
2026-06-20,Breiðholt #2,0.26666666666666666
2026-06-20,Egilshöll #1,0.6206666666666667
2026-06-20,Egilshöll #2,0
2026-06-20,Einhella,0.16833333333333333
2026-06-20,Fjarðarhraun,0.45399999999999996
2026-06-20,Frumherji - Reykjanesbær,0.10003333333333334
2026-06-20,Frumherji - Selfoss,0.6666666666666666
2026-06-20,Glerártorg #1,0.9999999893981482
2026-06-20,Glerártorg #2,0.9999666666666666
2026-06-20,Grandi,0.9593704
2026-06-20,Hafnartorg #1 Inngangur,0.6770833333333334
2026-06-20,Hafnartorg #2 Lengja,0.34374999999999994
2026-06-20,Hafnartorg #3 Greiðsluvél,0.25
2026-06-20,Hafnartorg #4 Kubbur,0.26041666666666663
2026-06-20,Hagasmári,0.4666666666666666
2026-06-20,Hæðasmári #1,0.26666666666666666
2026-06-20,Hæðasmári Standur - Portrait,0.1
2026-06-20,Höfðabakki #1,0.16833333333333333
2026-06-20,Höfðabakki #2,0.2703704
2026-06-20,Kaplakriki #1,0.5260370666666666
2026-06-20,Kaplakriki #2,0.9333333333333332
2026-06-20,Kaplakriki #3,0.6016666666666667
2026-06-20,Litlatún #1,0.7873333333333333
2026-06-20,Lyfjaval - Suðurfell,0.13333333333333333
2026-06-20,Lyfjaval - Vesturlandsvegur,0.13333333333333333
2026-06-20,Njarðarbraut #1,0.3683333333333333
2026-06-20,Njarðarbraut #2,0.235
2026-06-20,Selfoss #1,0.7223333333333334
2026-06-20,Selfoss #2,0.5016666666666666
2026-06-20,Smáratorg #1,0.6333333333333333
2026-06-20,Smáratorg #2,0.3
2026-06-20,Sæbraut - Holtagarðar,0.06666666666666667
2026-06-20,Sæbraut - Sundaborg,0
2026-06-20,Vatnsendahvarf #1,0
2026-06-20,Vestmannaeyjar,0.5873333333333334
2026-06-20,Vesturlandsvegur #1,0.9927037333333334
2026-06-20,Vesturlandsvegur #2,0.6016666666666667
