date,screen,fill_rate
2026-06-19,Akureyri #1,0.9683333333333333
2026-06-19,Akureyri #2,0.6683333333333333
2026-06-19,Austurstræti,0
2026-06-19,Borgartún,0.735
2026-06-19,Breiðholt #1,0.5016666666666666
2026-06-19,Breiðholt #2,0.26666666666666666
2026-06-19,Egilshöll #1,0.8999999999999999
2026-06-19,Egilshöll #2,0.06666666666666667
2026-06-19,Einhella,0.23500000000000001
2026-06-19,Fjarðarhraun,0.26666666666666666
2026-06-19,Frumherji - Reykjanesbær,0.10003333333333334
2026-06-19,Frumherji - Selfoss,0.7333333333333333
2026-06-19,Glerártorg #1,0.9999999886111111
2026-06-19,Glerártorg #2,0.9999999999999999
2026-06-19,Grandi,0.9349999999999999
2026-06-19,Hafnartorg #1 Inngangur,0.5104166666666666
2026-06-19,Hafnartorg #2 Lengja,0.34374999999999994
2026-06-19,Hafnartorg #3 Greiðsluvél,0.25
2026-06-19,Hafnartorg #4 Kubbur,0.26041666666666663
2026-06-19,Hagasmári,0.4666666666666666
2026-06-19,Hæðasmári #1,0.26666666666666666
2026-06-19,Hæðasmári Standur - Portrait,0.1
2026-06-19,Höfðabakki #1,0.43499999999999994
2026-06-19,Höfðabakki #2,0.49999999999999994
2026-06-19,Kaplakriki #1,0.7683333333333333
2026-06-19,Kaplakriki #2,0.6666666666666666
2026-06-19,Kaplakriki #3,0.5349999999999999
2026-06-19,Litlatún #1,0.7333333333333333
2026-06-19,Lyfjaval - Suðurfell,0.13333333333333333
2026-06-19,Lyfjaval - Vesturlandsvegur,0.13333333333333333
2026-06-19,Njarðarbraut #1,0.3016666666666667
2026-06-19,Njarðarbraut #2,0.43499999999999994
2026-06-19,Selfoss #1,0.835
2026-06-19,Selfoss #2,0.8683333333333333
2026-06-19,Smáratorg #1,0.7
2026-06-19,Smáratorg #2,0.16666666666666666
2026-06-19,Sæbraut - Holtagarðar,0.2
2026-06-19,Sæbraut - Sundaborg,0
2026-06-19,Vatnsendahvarf #1,0
2026-06-19,Vestmannaeyjar,0.3333333333333333
2026-06-19,Vesturlandsvegur #1,0.9683333333333333
2026-06-19,Vesturlandsvegur #2,0.9349999999999999
