date,screen,fill_rate
2026-07-23,Akureyri #1,0.5238888666666667
2026-07-23,Akureyri #2,0.4016666666666666
2026-07-23,Austurstræti,0
2026-07-23,Borgartún,0.6905555333333333
2026-07-23,Breiðholt #1,0.3238888666666667
2026-07-23,Breiðholt #2,0.39999999999999997
2026-07-23,Egilshöll #1,0.48888886666666664
2026-07-23,Egilshöll #2,0.2
2026-07-23,Einhella,0.16833333333333333
2026-07-23,Fjarðarhraun,0.13333333333333333
2026-07-23,Frumherji - Reykjanesbær,0.10003333333333334
2026-07-23,Frumherji - Selfoss,0.6666666666666666
2026-07-23,Glerártorg #1,0.8683333333333333
2026-07-23,Glerártorg #2,0.6222222
2026-07-23,Grandi,0.9572221999999999
2026-07-23,Hafnartorg #1 Inngangur,0.42708333333333326
2026-07-23,Hafnartorg #2 Lengja,0.34374999999999994
2026-07-23,Hafnartorg #3 Greiðsluvél,0.25
2026-07-23,Hafnartorg #4 Kubbur,0.26041666666666663
2026-07-23,Hagasmári,0.3
2026-07-23,Hæðasmári #1,0.4666666666666666
2026-07-23,Hæðasmári Standur - Portrait,0.1
2026-07-23,Höfðabakki #1,0.10166666666666667
2026-07-23,Höfðabakki #2,0.3222222
2026-07-23,Kaplakriki #1,0.6905555333333333
2026-07-23,Kaplakriki #2,0.7555555333333333
2026-07-23,Kaplakriki #3,0.5572221999999999
2026-07-23,Litlatún #1,0.3333333333333333
2026-07-23,Lyfjaval - Suðurfell,0.13333333333333333
2026-07-23,Lyfjaval - Vesturlandsvegur,0.13333333333333333
2026-07-23,Njarðarbraut #1,0.43499999999999994
2026-07-23,Njarðarbraut #2,0.29055553333333334
2026-07-23,Selfoss #1,0.6572222
2026-07-23,Selfoss #2,0.6572222
2026-07-23,Smáratorg #1,0.25555553333333336
2026-07-23,Smáratorg #2,0.06666666666666667
2026-07-23,Sæbraut - Holtagarðar,0.06666666666666667
2026-07-23,Sæbraut - Sundaborg,0
2026-07-23,Vatnsendahvarf #1,0
2026-07-23,Vestmannaeyjar,0.2
2026-07-23,Vesturlandsvegur #1,0.7572222
2026-07-23,Vesturlandsvegur #2,0.43499999999999994
