date,screen,fill_rate
2026-07-20,Akureyri #1,0.5572222
2026-07-20,Akureyri #2,0.16833333333333333
2026-07-20,Austurstræti,0
2026-07-20,Borgartún,0.6238888666666667
2026-07-20,Breiðholt #1,0.49055553333333335
2026-07-20,Breiðholt #2,0.26666666666666666
2026-07-20,Egilshöll #1,0.48888886666666664
2026-07-20,Egilshöll #2,0.16666666666666666
2026-07-20,Einhella,0.23500000000000001
2026-07-20,Fjarðarhraun,0
2026-07-20,Frumherji - Reykjanesbær,0.10003333333333334
2026-07-20,Frumherji - Selfoss,0.6
2026-07-20,Glerártorg #1,0.7683333333333333
2026-07-20,Glerártorg #2,0.5222222
2026-07-20,Grandi,0.5572222
2026-07-20,Hafnartorg #1 Inngangur,0.42708333333333326
2026-07-20,Hafnartorg #2 Lengja,0.34374999999999994
2026-07-20,Hafnartorg #3 Greiðsluvél,0.25
2026-07-20,Hafnartorg #4 Kubbur,0.26041666666666663
2026-07-20,Hagasmári,0.13333333333333333
2026-07-20,Hæðasmári #1,0.4666666666666666
2026-07-20,Hæðasmári Standur - Portrait,0.1
2026-07-20,Höfðabakki #1,0.5016666666666666
2026-07-20,Höfðabakki #2,0.38888886666666667
2026-07-20,Kaplakriki #1,0.5905555333333333
2026-07-20,Kaplakriki #2,0.6888888666666666
2026-07-20,Kaplakriki #3,0.35722219999999993
2026-07-20,Litlatún #1,0.5333333333333333
2026-07-20,Lyfjaval - Suðurfell,0.13333333333333333
2026-07-20,Lyfjaval - Vesturlandsvegur,0.13333333333333333
2026-07-20,Njarðarbraut #1,0.3016666666666667
2026-07-20,Njarðarbraut #2,0.29055553333333334
2026-07-20,Selfoss #1,0.5572222
2026-07-20,Selfoss #2,0.5572222
2026-07-20,Smáratorg #1,0.38888886666666667
2026-07-20,Smáratorg #2,0.06666666666666667
2026-07-20,Sæbraut - Holtagarðar,0.13333333333333333
2026-07-20,Sæbraut - Sundaborg,0
2026-07-20,Vatnsendahvarf #1,0
2026-07-20,Vestmannaeyjar,0.13333333333333333
2026-07-20,Vesturlandsvegur #1,0.4238888666666667
2026-07-20,Vesturlandsvegur #2,0.5683333333333334
