date,screen,fill_rate
2026-01-15,Akureyri #1,0.7243333333333333
2026-01-15,Akureyri #2,0.2127778
2026-01-15,Austurstræti,0.125
2026-01-15,Borgartún,0.8127778
2026-01-15,Breiðholt #1,0.5127778
2026-01-15,Breiðholt #2,0.6893333333333332
2026-01-15,Egilshöll #1,0.9226666665740739
2026-01-15,Egilshöll #2,0.4666666666666666
2026-01-15,Einhella,0.23500000000000001
2026-01-15,Fjarðarhraun,0.3893333333333333
2026-01-15,Frumherji - Reykjanesbær,0.13336666666666666
2026-01-15,Frumherji - Selfoss,0.13333333333333333
2026-01-15,Glerártorg #1,0.5127778
2026-01-15,Glerártorg #2,0.5671111333333333
2026-01-15,Grandi,0.8794444666666666
2026-01-15,Hafnartorg #1 Inngangur,0.41666666666666663
2026-01-15,Hafnartorg #2 Lengja,0.3333333333333333
2026-01-15,Hafnartorg #3 Greiðsluvél,0.3333333333333333
2026-01-15,Hafnartorg #4 Kubbur,0.25
2026-01-15,Hagasmári,0.45599999999999996
2026-01-15,Hæðasmári #1,0.6283333333333333
2026-01-15,Hæðasmári Standur - Portrait,0.03333333333333333
2026-01-15,Höfðabakki #1,0.6461111333333334
2026-01-15,Höfðabakki #2,0.42266666666666663
2026-01-15,Kaplakriki #1,0.9021111333333333
2026-01-15,Kaplakriki #2,0.9333333333333332
2026-01-15,Kaplakriki #3,0.9794444666666666
2026-01-15,Litlatún #1,0.8559999999999999
2026-01-15,Lyfjaval - Suðurfell,0.22833333333333333
2026-01-15,Lyfjaval - Vesturlandsvegur,0.22833333333333333
2026-01-15,Njarðarbraut #1,0.5243333333333333
2026-01-15,Njarðarbraut #2,0.46833333333333327
2026-01-15,Selfoss #1,0.8666666666666666
2026-01-15,Selfoss #2,0.5893333333333333
2026-01-15,Smáratorg #1,0.5111111333333334
2026-01-15,Smáratorg #2,0.19999999999999998
2026-01-15,Sæbraut - Holtagarðar,0.18933333333333333
2026-01-15,Sæbraut - Sundaborg,0.5004444666666666
2026-01-15,Vatnsendahvarf #1,0
2026-01-15,Vestmannaeyjar,0.306
2026-01-15,Vesturlandsvegur #1,0.8576666666666666
2026-01-15,Vesturlandsvegur #2,0.7243333333333333
