date,screen,fill_rate
2026-01-10,Akureyri #1,0.31833333333333336
2026-01-10,Akureyri #2,0.20166666666666666
2026-01-10,Austurstræti,0
2026-01-10,Borgartún,0.5183333333333333
2026-01-10,Breiðholt #1,0.45166666666666666
2026-01-10,Breiðholt #2,0.25
2026-01-10,Egilshöll #1,0.6166666666666667
2026-01-10,Egilshöll #2,0.3
2026-01-10,Einhella,0.23500000000000001
2026-01-10,Fjarðarhraun,0.11666666666666667
2026-01-10,Frumherji - Reykjanesbær,0.13336666666666666
2026-01-10,Frumherji - Selfoss,0.13333333333333333
2026-01-10,Glerártorg #1,0.6516666666666666
2026-01-10,Glerártorg #2,0.39999999999999997
2026-01-10,Grandi,0.985
2026-01-10,Hafnartorg #1 Inngangur,0.25
2026-01-10,Hafnartorg #2 Lengja,0.3333333333333333
2026-01-10,Hafnartorg #3 Greiðsluvél,0.3333333333333333
2026-01-10,Hafnartorg #4 Kubbur,0.25
2026-01-10,Hagasmári,0.31666666666666665
2026-01-10,Hæðasmári #1,0.5333333333333333
2026-01-10,Hæðasmári Standur - Portrait,0.03333333333333333
2026-01-10,Höfðabakki #1,0.33499999999999996
2026-01-10,Höfðabakki #2,0.3833333333333333
2026-01-10,Kaplakriki #1,0.685
2026-01-10,Kaplakriki #2,0.8999999999999999
2026-01-10,Kaplakriki #3,0.5683333333333332
2026-01-10,Litlatún #1,0.7166666666666667
2026-01-10,Lyfjaval - Suðurfell,0.13333333333333333
2026-01-10,Lyfjaval - Vesturlandsvegur,0.13333333333333333
2026-01-10,Njarðarbraut #1,0.385
2026-01-10,Njarðarbraut #2,0.335
2026-01-10,Selfoss #1,0.8833333333333333
2026-01-10,Selfoss #2,0.1
2026-01-10,Smáratorg #1,0.36666666666666664
2026-01-10,Smáratorg #2,0.13333333333333333
2026-01-10,Sæbraut - Holtagarðar,0.05
2026-01-10,Sæbraut - Sundaborg,0.35
2026-01-10,Vatnsendahvarf #1,0
2026-01-10,Vestmannaeyjar,0.23333333333333334
2026-01-10,Vesturlandsvegur #1,0.7183333333333334
2026-01-10,Vesturlandsvegur #2,0.45166666666666666
