date,screen,fill_rate
2026-08-27,Akureyri #1,0.8016666666666666
2026-08-27,Akureyri #2,0.6683333333333333
2026-08-27,Austurstræti,0.125
2026-08-27,Borgartún,0.8699878348148147
2026-08-27,Breiðholt #1,0.9250966666203703
2026-08-27,Breiðholt #2,0.5115578348148148
2026-08-27,Egilshöll #1,0.7956521999999999
2026-08-27,Egilshöll #2,0.6611111333333333
2026-08-27,Einhella,0.5683333333333334
2026-08-27,Fjarðarhraun,0.4333333333333333
2026-08-27,Frumherji - Reykjanesbær,0.10003333333333334
2026-08-27,Frumherji - Selfoss,0.49999999999999994
2026-08-27,Glerártorg #1,0.9349999999999999
2026-08-27,Glerártorg #2,0.9289855333333332
2026-08-27,Grandi,0.9465658666666666
2026-08-27,Hafnartorg #1 Inngangur,0.5104166666666666
2026-08-27,Hafnartorg #2 Lengja,0.42708333333333326
2026-08-27,Hafnartorg #3 Greiðsluvél,0.3680555833333333
2026-08-27,Hafnartorg #4 Kubbur,0.34374999999999994
2026-08-27,Hagasmári,0.5666666666666667
2026-08-27,Hæðasmári #1,0.5333333333333333
2026-08-27,Hæðasmári Standur - Portrait,0.1
2026-08-27,Höfðabakki #1,0.8016666666666666
2026-08-27,Höfðabakki #2,0.8900966666666665
2026-08-27,Kaplakriki #1,0.7639855333333333
2026-08-27,Kaplakriki #2,0.9782245014814813
2026-08-27,Kaplakriki #3,0.6016666666666667
2026-08-27,Litlatún #1,0.844891168148148
2026-08-27,Lyfjaval - Suðurfell,0.13333333333333333
2026-08-27,Lyfjaval - Vesturlandsvegur,0.13333333333333333
2026-08-27,Njarðarbraut #1,0.7766666666666666
2026-08-27,Njarðarbraut #2,0.854891168148148
2026-08-27,Selfoss #1,0.9683333333333333
2026-08-27,Selfoss #2,0.635
2026-08-27,Smáratorg #1,0.5956522
2026-08-27,Smáratorg #2,0.36666666666666664
2026-08-27,Sæbraut - Holtagarðar,0.6333333333333333
2026-08-27,Sæbraut - Sundaborg,0
2026-08-27,Vatnsendahvarf #1,0
2026-08-27,Vestmannaeyjar,0.7
2026-08-27,Vesturlandsvegur #1,0.9639855333333333
2026-08-27,Vesturlandsvegur #2,0.9238888666666666
